v1,v2,c1,c2,choice,rt
1,3,1.0,0.7,0.9236,79.6458
2,3,1.0,0.7,0.8244,94.6456
3,3,1.0,0.7,0.6602,106.2882
-3,-3,0.1,1.0,0.0172,38.5092
-2,-3,0.1,1.0,0.0176,37.3558
-1,-3,0.1,1.0,0.0168,36.8958
0,-3,0.1,1.0,0.0126,36.608
1,-3,0.1,1.0,0.012,35.3728
2,-3,0.1,1.0,0.0134,34.4474
3,-3,0.1,1.0,0.009,33.8322
-3,-2,0.1,1.0,0.086,51.5796
-2,-2,0.1,1.0,0.0682,49.624
-1,-2,0.1,1.0,0.0596,48.6236
0,-2,0.1,1.0,0.0502,46.919
1,-2,0.1,1.0,0.0478,46.5002
2,-2,0.1,1.0,0.0436,45.2464
3,-2,0.1,1.0,0.033,44.1954
-3,-1,0.1,1.0,0.2706,65.1082
-2,-1,0.1,1.0,0.2556,64.171
-1,-1,0.1,1.0,0.2236,62.6638
0,-1,0.1,1.0,0.195,61.5836
1,-1,0.1,1.0,0.1908,61.7348
2,-1,0.1,1.0,0.1732,59.5664
3,-1,0.1,1.0,0.1436,58.8794
-3,0,0.1,1.0,0.58,68.7428
-2,0,0.1,1.0,0.5672,69.491
-1,0,0.1,1.0,0.516,70.5006
0,0,0.1,1.0,0.5034,70.9576
1,0,0.1,1.0,0.4634,70.291
2,0,0.1,1.0,0.4354,70.811
3,0,0.1,1.0,0.412,69.2198
-3,1,0.1,1.0,0.8384,60.7658
-2,1,0.1,1.0,0.8308,60.7312
-1,1,0.1,1.0,0.8086,61.7158
